dtxsid,measurement,observation,sample,sampleType,substanceName,unit,value
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236612509.AAWH.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236612509.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236612509.20231106>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.072
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L226311101.AAWH.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL226311101.20221108.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL226311101.20221108>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.073
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233750605.AAWH.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233750605.20230628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233750605.20230628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.073
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L213529703.AAWH.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL213529703.20210629.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL213529703.20210629>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.074
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233686202.AAWH.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233686202.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233686202.20230626>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.074
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L232954901.AAWH.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL232954901.20230525.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL232954901.20230525>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.075
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L235816712.AAWH.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL235816712.20230929.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL235816712.20230929>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.075
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L236612503.AAWH.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL236612503.20231106.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL236612503.20231106>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L223443703.AAWH.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL223443703.20220628.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL223443703.20220628>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
<http://w3id.org/DSSTox/v1/DTXSID5030030>,<http://w3id.org/sawgraph/v1/me-egad-data#result.L233686201.AAWH.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL233686201.20230626.375735>,<http://w3id.org/sawgraph/v1/me-egad-data#sample.AAWHL233686201.20230626>,SOIL,Perfluorobutanesulfonic acid,ng/g,0.076
