testPoint,feature,observation,substance,concentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95065,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95065,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132513.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,3.64,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95065,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95065,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132513.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,3.64,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95065,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95065,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132513.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,3.64,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95065,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95065,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132513.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,3.64,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.142179,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.142179,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132515.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,4.7,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.142179,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.142179,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132515.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,4.7,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.142179,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.142179,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132515.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,4.7,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.142179,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.142179,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132515.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,4.7,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,4180.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.2706914,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPES_A,544.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.2991506,http://w3id.org/sawgraph/v1/me-egad-data#parameter.N-EtFOSAA_A,918.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,342.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,860.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,1100.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,295.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.375735,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBS_A,629.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,258.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,5040.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,6398.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.133165,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.133165,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAWHL180261301.20180124.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,6398.0,http://qudt.org/vocab/unit/NanoGM-PER-L
